INFO 2025-12-25 18:29:38,690 autoreload Watching for file changes with StatReloader
INFO 2025-12-25 18:43:29,361 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:43:29,364 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:43:29,365 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:43:29,372 log "GET /api/plans/ HTTP/1.1" 200 463
INFO 2025-12-25 18:43:29,373 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:43:29,379 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:43:33,651 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:43:33,651 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:43:33,661 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:43:33,664 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:43:37,781 log "PATCH /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:43:39,549 log "GET /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:43:39,557 log "GET /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:43:39,569 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:43:39,575 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:43:41,956 log "GET /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:43:41,976 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:44:16,469 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:44:16,470 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:44:16,480 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:44:16,480 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:44:18,621 autoreload D:\coding\journal\backend\journals\models.py changed, reloading.
INFO 2025-12-25 18:44:19,308 autoreload Watching for file changes with StatReloader
INFO 2025-12-25 18:44:19,704 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:44:19,709 log "GET /api/submissions/?status=PUBLISHED HTTP/1.1" 200 511
INFO 2025-12-25 18:44:20,995 autoreload D:\coding\journal\backend\submissions\models.py changed, reloading.
INFO 2025-12-25 18:44:21,608 autoreload Watching for file changes with StatReloader
INFO 2025-12-25 18:44:22,236 log "GET /api/plans/ HTTP/1.1" 200 463
INFO 2025-12-25 18:44:22,236 log "GET /api/auth/me/ HTTP/1.1" 200 124
ERROR 2025-12-25 18:44:22,238 log Internal Server Error: /api/submissions/
Traceback (most recent call last):
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 359, in execute
    return super().execute(query, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such column: submissions_article.rejection_reason

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\core\handlers\base.py", line 198, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "D:\coding\journal\backend\venv\Lib\site-packages\rest_framework\viewsets.py", line 125, in view
    return self.dispatch(request, *args, **kwargs)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
  File "D:\coding\journal\backend\venv\Lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "D:\coding\journal\backend\venv\Lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "D:\coding\journal\backend\venv\Lib\site-packages\rest_framework\mixins.py", line 46, in list
    return Response(serializer.data)
                    ^^^^^^^^^^^^^^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\rest_framework\serializers.py", line 797, in data
    ret = super().data
          ^^^^^^^^^^^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\rest_framework\serializers.py", line 251, in data
    self._data = self.to_representation(self.instance)
                 ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\rest_framework\serializers.py", line 716, in to_representation
    self.child.to_representation(item) for item in iterable
                                                   ^^^^^^^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\db\models\query.py", line 390, in __iter__
    self._fetch_all()
    ~~~~~~~~~~~~~~~^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\db\models\query.py", line 2000, in _fetch_all
    self._result_cache = list(self._iterable_class(self))
                         ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\db\models\query.py", line 95, in __iter__
    results = compiler.execute_sql(
        chunked_fetch=self.chunked_fetch, chunk_size=self.chunk_size
    )
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\db\models\sql\compiler.py", line 1624, in execute_sql
    cursor.execute(sql, params)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\db\backends\utils.py", line 79, in execute
    return self._execute_with_wrappers(
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~^
        sql, params, many=False, executor=self._execute
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\db\backends\utils.py", line 92, in _execute_with_wrappers
    return executor(sql, params, many, context)
  File "D:\coding\journal\backend\venv\Lib\site-packages\django\db\backends\utils.py", line 100, in _execute
    with self.db.wrap_database_errors:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
